tiempo_ms,tiempo_s,temperatura_c,temperatura_k,presion_hpa,densidad_kg_m3,altitud_estimada_m
242564,242.564,20.73,293.88,1019.79,1.208879927742459,-54.2795490036602
242707,242.707,20.72,293.87,1019.82,1.2089566281208357,-54.52788743570794
242849,242.849,20.72,293.87,1019.77,1.2088973550810778,-54.113986762228045
242993,242.993,20.72,293.87,1019.8,1.2089329189049325,-54.362329138342396
243136,243.136,20.71,293.85999999999996,1019.8,1.2089740586626034,-54.362329138342396
243279,243.279,20.7,293.84999999999997,1019.78,1.208991490390727,-54.19676821162536
243423,243.423,20.69,293.84,1019.77,1.2090207791235923,-54.113986762228045
243566,243.566,20.68,293.83,1019.77,1.2090619260717979,-54.113986762228045
243709,243.709,20.67,293.82,1019.78,1.2091149324461068,-54.19676821162536
243852,243.852,20.66,293.81,1019.78,1.2091560853997996,-54.19676821162536
244030,244.03,20.66,293.81,1019.83,1.2092153705439188,-54.61066559840112
244172,244.172,20.65,293.79999999999995,1019.83,1.2092565283169123,-54.61066559840112
244316,244.316,20.65,293.79999999999995,1019.83,1.2092565283169123,-54.61066559840112
244459,244.459,20.64,293.78999999999996,1019.82,1.2092858310557544,-54.52788743570794
244609,244.609,20.63,293.78,1019.81,1.209315135789473,-54.4451086156818
244753,244.753,20.63,293.78,1019.82,1.2093269940291036,-54.52788743570794
244896,244.896,20.63,293.78,1019.82,1.2093269940291036,-54.52788743570794
245040,245.04,20.63,293.78,1019.82,1.2093269940291036,-54.52788743570794
245182,245.182,20.62,293.77,1019.84,1.2093918770914238,-54.693443103800725
245325,245.325,20.62,293.77,1019.83,1.2093800184481356,-54.61066559840112
245469,245.469,20.62,293.77,1019.84,1.2093918770914238,-54.693443103800725
245612,245.612,20.61,293.76,1019.86,1.2094567645711636,-54.85899614272905
245792,245.792,20.61,293.76,1019.85,1.2094449055241907,-54.776219951906754
245936,245.936,20.61,293.76,1019.84,1.2094330464772178,-54.693443103800725
246079,246.079,20.6,293.75,1019.86,1.2094979375674042,-54.85899614272905
246222,246.222,20.6,293.75,1019.85,1.2094860781167192,-54.776219951906754
246366,246.366,20.59,293.73999999999995,1019.81,1.2094798140948844,-54.4451086156818
246509,246.509,20.59,293.73999999999995,1019.82,1.2094916739493091,-54.52788743570794
246651,246.651,20.58,293.72999999999996,1019.8,1.2095091304211099,-54.362329138342396
246802,246.802,20.58,293.72999999999996,1019.83,1.2095447111956859,-54.61066559840112
246945,246.945,20.58,293.72999999999996,1019.84,1.209556571453878,-54.693443103800725
247089,247.089,20.57,293.71999999999997,1019.83,1.2095858913914912,-54.61066559840112
247232,247.232,20.57,293.71999999999997,1019.85,1.2096096127154645,-54.776219951906754
247375,247.375,20.56,293.71,1019.87,1.2096745186546722,-54.94177167628729
247519,247.519,20.56,293.71,1019.87,1.2096745186546722,-54.94177167628729
247661,247.661,20.54,293.69,1019.8,1.2096738631842847,-54.362329138342396
247804,247.804,20.54,293.69,1019.81,1.2096857250578206,-54.4451086156818
247948,247.948,20.53,293.67999999999995,1019.85,1.209774364773857,-54.776219951906754
248091,248.091,20.52,293.66999999999996,1019.83,1.2097918344383451,-54.61066559840112
248234,248.234,20.52,293.66999999999996,1019.85,1.2098155598010907,-54.776219951906754
248378,248.378,20.52,293.66999999999996,1019.85,1.2098155598010907,-54.776219951906754
248521,248.521,20.51,293.65999999999997,1019.85,1.2098567576339518,-54.776219951906754
248663,248.663,20.51,293.65999999999997,1019.82,1.2098211683779545,-54.52788743570794
248807,248.807,20.51,293.65999999999997,1019.85,1.2098567576339518,-54.776219951906754
248950,248.95,20.49,293.64,1019.8,1.2098798422510306,-54.362329138342396
249094,249.094,20.48,293.63,1019.79,1.2099091821849055,-54.2795490036602
249237,249.237,20.46,293.60999999999996,1019.81,1.2100153284705266,-54.4451086156818
249380,249.38,20.45,293.59999999999997,1019.82,1.2100684070363423,-54.52788743570794
249524,249.524,20.44,293.59,1019.83,1.210121489217987,-54.61066559840112
249667,249.667,20.42,293.57,1019.82,1.210192064263617,-54.52788743570794
249810,249.81,20.41,293.56,1019.79,1.2101976875764882,-54.2795490036602
249953,249.953,20.4,293.54999999999995,1019.8,1.2102507813953078,-54.362329138342396
250096,250.096,20.4,293.54999999999995,1019.83,1.2102863839874256,-54.61066559840112
250239,250.239,20.38,293.53,1019.82,1.2103569798857698,-54.52788743570794
250383,250.383,20.38,293.53,1019.82,1.2103569798857698,-54.52788743570794
250526,250.526,20.37,293.52,1019.84,1.210421953301811,-54.693443103800725
250669,250.669,20.36,293.51,1019.82,1.2104394545530648,-54.52788743570794
250813,250.813,20.35,293.5,1019.82,1.2104806961017718,-54.52788743570794
250955,250.955,20.34,293.48999999999995,1019.81,1.2105100705040424,-54.4451086156818
251099,251.099,20.33,293.47999999999996,1019.82,1.2105631876307417,-54.52788743570794
251249,251.249,20.32,293.46999999999997,1019.87,1.2106637914405691,-54.94177167628729
251392,251.392,20.3,293.45,1019.83,1.2106988175822417,-54.61066559840112
251536,251.536,20.29,293.44,1019.81,1.2107163324435364,-54.4451086156818
251679,251.679,20.28,293.42999999999995,1019.81,1.2107575932666441,-54.4451086156818
251823,251.823,20.28,293.42999999999995,1019.84,1.2107932104186607,-54.693443103800725
251966,251.966,20.27,293.41999999999996,1019.8,1.2107869841135321,-54.362329138342396
252108,252.108,20.27,293.41999999999996,1019.83,1.210822602479411,-54.61066559840112
252252,252.252,20.26,293.40999999999997,1019.8,1.2108282501570928,-54.362329138342396
252395,252.395,20.26,293.40999999999997,1019.8,1.2108282501570928,-54.362329138342396
252538,252.538,20.25,293.4,1019.82,1.2108932662095093,-54.52788743570794
252682,252.682,20.25,293.4,1019.83,1.2109051398074602,-54.61066559840112
252825,252.825,20.24,293.39,1019.81,1.2109226646860198,-54.4451086156818
252968,252.968,20.24,293.39,1019.8,1.2109107906833654,-54.362329138342396
253146,253.146,20.23,293.38,1019.83,1.2109876883888089,-54.61066559840112
253288,253.288,20.22,293.37,1019.82,1.211017092088046,-54.52788743570794
253438,253.438,20.22,293.37,1019.81,1.2110052172759018,-54.4451086156818
253582,253.582,20.22,293.37,1019.82,1.211017092088046,-54.52788743570794
253725,253.725,20.21,293.35999999999996,1019.8,1.211034622574968,-54.362329138342396
253868,253.868,20.21,293.35999999999996,1019.83,1.2110702482257596,-54.61066559840112
254046,254.046,20.21,293.35999999999996,1019.78,1.2110108721411068,-54.19676821162536
254189,254.189,20.2,293.34999999999997,1019.82,1.2110996567440604,-54.52788743570794
254332,254.332,20.2,293.34999999999997,1019.84,1.2111234079875492,-54.693443103800725
254476,254.476,20.2,293.34999999999997,1019.83,1.2111115323658048,-54.61066559840112
254619,254.619,20.19,293.34,1019.82,1.2111409432940277,-54.52788743570794
254761,254.761,20.19,293.34,1019.81,1.2111290672674415,-54.4451086156818
254905,254.905,20.18,293.33,1019.83,1.2111941090904743,-54.61066559840112
255048,255.048,20.19,293.34,1019.83,1.2111528193206136,-54.61066559840112
255191,255.191,20.19,293.34,1019.83,1.2111528193206136,-54.61066559840112
255335,255.335,20.19,293.34,1019.82,1.2111409432940277,-54.52788743570794
255478,255.478,20.19,293.34,1019.81,1.2111290672674415,-54.4451086156818
255629,255.629,20.19,293.34,1019.8,1.2111171912408556,-54.362329138342396
255771,255.771,20.19,293.34,1019.81,1.2111290672674415,-54.4451086156818
255914,255.914,20.2,293.34999999999997,1019.8,1.2110759055005713,-54.362329138342396
256058,256.058,20.2,293.34999999999997,1019.81,1.2110877811223157,-54.4451086156818
256201,256.201,20.19,293.34,1019.81,1.2111290672674415,-54.4451086156818
